16001885,CENTRO DE ESTUDOS SUPLETIVOS PROF PAULO MELO
16001923,COLEGIO AMAPAENSE
16002067,ESC EST PROF GABRIEL ALMEIDA CAFE
16002083,ESC EST MARIO DAVID ANDREAZZA
16002105,ESC EST N S DE NAZARE
16002148,ESC EST PROF M MERIAN DOS S C FERNANDES
16002156,ESC EST REINALDO MAURICIO GOLBERT DAMASCENO
16002199,ESC EST SAO LAZARO
16002245,ESC EST ANTONIO JOAO
16002253,ESC EST ARACARY CORREA ALVES
16002270,ESC EST AUGUSTO DOS ANJOS
16002296,ESC EST BARAO DO RIO BRANCO
16002318,ESC EST CASTRO ALVES
16002326,ESC EST CECILIA PINTO
16002334,ESC EST COELHO NETO
16002369,ESC EST DEUSOLINA SALLES FARIAS
16002377,ESC EST DEUZUITE M C CAVALCANTE
16002385,ESC EST DOM ARISTIDES PIROVANO
16002393,ESC EST DR ALEXANDRE VAZ TAVARES
16002407,ESC EST DR COARACY NUNES
16002415,ESC EST EDGAR LINO DA SILVA
16002431,ESC EST GAL AZEVEDO COSTA
16002440,ESC EST GONCALVES DIAS
16002458,CENTRO EDUC PROFISSIONAL GRAZIELA REIS DE SOUZA
16002466,ESC EST MODELO GUANABARA
16002482,ESC EST IRMA SANTINA RIOLI
16002490,ESC EST JESUS DE NAZARE
16002512,ESC EST JOSE DE ALENCAR
16002520,ESC EST JOSE DE ANCHIETA
16002547,ESC EST PROF JOSEFA JUCILEIDE A COLARES
16002580,ESC EST MARIA DO CARMO VIANA DOS ANJOS
16002598,ESC EST MAL CASTELO BRANCO
16002601,ESC EST MARIA DO SOCORRO A SMITH
16002610,ESC EST MARIO QUIRINO DA SILVA
16002660,ESC EST TIRADENTES
16002687,ESC EST PREDICANDA C AMORIM LOPES
16002695,ESC EST PRINCESA IZABEL
16002709,ESC EST PROF IRINEU DA GAMA PAES
16002717,ESC EST PROF LAURO DE CARVALHO CHAVES
16002725,ESC EST PROF LUCIMAR A DEL CASTILLO
16002733,ESC EST PROF MARIA CARMELITA DO CARMO
16002741,ESC EST PROF RUTH DE ALMEIDA BEZERRA
16002750,ESC EST SANTA INES
16002792,ESC EST SAO BENEDITO
16002814,ESC EST SEBASTIANA LENIR DE ALMEIDA
16002830,ESC EST SERAFINI COSTAPERARIA
16002873,ESC EST PROF ZOLITO DE JESUS NUNES
16002881,ESC EST ANTONIO CORDEIRO PONTES
16003209,ESC EST DOM JOSE MARITANO
